"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"705","Gotta have your #analytics...!
https://t.co/6xnaA8v2ct",FALSE,1,NA,2017-01-18 16:04:28,FALSE,NA,"821750112405876736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SocialMediaInUK",0,FALSE,FALSE,NA,NA
"706","If #attribution is impossible, then what’s the alternative? by @MegKateWilcock https://t.co/zwbaEN18R8 #measure… https://t.co/Zbgv97mIfM",FALSE,0,NA,2017-01-18 16:04:08,TRUE,NA,"821750028012240897",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","sweetspot",0,FALSE,FALSE,NA,NA
"707","How can data #analytics change the way businesses reach their #customers? We explore in https://t.co/B6Ez2MmRP8 #BigData  Vía EY_India",FALSE,1,NA,2017-01-18 16:03:37,FALSE,NA,"821749895929491456",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","bluemindtech",0,FALSE,FALSE,NA,NA
"708","RT @MariaWinans: Why predictive #analytics will steal the show at NRF's 2017 Big Show. #data #WatsonCE #THINKmarketing #NRF17 https://t.co/…",FALSE,0,NA,2017-01-18 16:03:32,FALSE,NA,"821749877935865856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scottmethereil",9,TRUE,FALSE,NA,NA
"709","RT @ChiaraPensato: How #analytics helped us predict the US election: really insightful piece by @alteryx @AskDrDan  https://t.co/UfqOJpUMnt",FALSE,0,NA,2017-01-18 16:03:31,FALSE,NA,"821749870855753732",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brandysbaxter",1,TRUE,FALSE,NA,NA
"710","Networkx #Bigdata Daily! https://t.co/5EXqTYjuGJ Thanks to @IPLdotcom @Zekrom8 @malavista #analytics",FALSE,0,NA,2017-01-18 16:03:29,FALSE,NA,"821749862056214529",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jletteboer",0,FALSE,FALSE,NA,NA
"711","This #BASE jump video sums up my #FactBeatFear research. It also explains my Brain #BigData #Analytics PASSION..;-) https://t.co/e9L0lI0Mlr",FALSE,4,NA,2017-01-18 16:03:25,FALSE,NA,"821749847330095104",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","dr_morton",3,FALSE,FALSE,NA,NA
"712","RT @Qlik_UK: Miss our #BI Trends for 2017 webinar last week? Watch it on demand here! #analytics https://t.co/Tf9qN8QqKk https://t.co/mBCd4…",FALSE,0,NA,2017-01-18 16:03:21,FALSE,NA,"821749830435438592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","donnacdobson",5,TRUE,FALSE,NA,NA
"713","RT @JohnSnowLabs: Exploring the Intersecton of #MachineLearning &amp; #Analytics #BigData - https://t.co/aFN3NGEpTr #Datascience #dataops",FALSE,0,NA,2017-01-18 16:03:03,FALSE,NA,"821749755457970177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jacob_maxime",5,TRUE,FALSE,NA,NA
"714","See into your entire application stack with Perspica: https://t.co/LFd89SX1aD #analytics #performance https://t.co/HDVpZiaWHU",FALSE,0,NA,2017-01-18 16:02:57,FALSE,NA,"821749727247167489",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","PerspicaInc",0,FALSE,FALSE,NA,NA
